UUID        = pppppppp-hhhh-yyyy-ssss-ioioioioioio
ScanDate    = 20180101_120001
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     21750688     RESP   1314 
     21750696     RESP   1316 
     21750704     RESP   1325 
     21750712     RESP   1337 
     21750720     RESP   1348 
     21750728     RESP   1357 
     21750736     RESP   1366 
     21750744     RESP   1375 
     21750752     RESP   1386 
     21750760     RESP   1395 
     21750768     RESP   1404 
     21750776     RESP   1409 
     21750784     RESP   1413 
     21750792     RESP   1420 
     21750800     RESP   1431 
     21750808     RESP   1438 
     21750816     RESP   1447 
     21750824     RESP   1454 
     21750832     RESP   1463 
     21750840     RESP   1474 
     21750848     RESP   1478 
     21750856     RESP   1485 
     21750864     RESP   1490 
     21750872     RESP   1496 
     21750880     RESP   1503 
     21750888     RESP   1510 
     21750896     RESP   1519 
     21750904     RESP   1526 
     21750912     RESP   1530 
     21750920     RESP   1535 
     21750928     RESP   1535 
     21750936     RESP   1528 
     21750944     RESP   1526 
     21750952     RESP   1526 
     21750960     RESP   1528 
     21750968     RESP   1530 
     21750976     RESP   1532 
     21750984     RESP   1537 
     21750992     RESP   1546 
     21751000     RESP   1550 
     21751008     RESP   1553 
     21751016     RESP   1557 
     21751024     RESP   1568 
     21751032     RESP   1580 
     21751040     RESP   1593 
     21751048     RESP   1611 
     21751056     RESP   1613 
     21751064     RESP   1609 
     21751072     RESP   1593 
     21751080     RESP   1584 
     21751088     RESP   1582 
     21751096     RESP   1582 
     21751104     RESP   1589 
     21751112     RESP   1600 
     21751120     RESP   1609 
     21751128     RESP   1618 
     21751136     RESP   1622 
     21751144     RESP   1627 
     21751152     RESP   1638 
     21751160     RESP   1647 
     21751168     RESP   1656 
     21751176     RESP   1658 
     21751184     RESP   1661 
     21751192     RESP   1663 
     21751200     RESP   1667 
     21751208     RESP   1679 
     21751216     RESP   1688 
     21751224     RESP   1697 
     21751232     RESP   1703 
     21751240     RESP   1710 
     21751248     RESP   1715 
     21751256     RESP   1717 
     21751264     RESP   1721 
     21751272     RESP   1726 
     21751280     RESP   1728 
     21751288     RESP   1730 
     21751296     RESP   1735 
     21751304     RESP   1737 
     21751312     RESP   1739 
     21751320     RESP   1746 
     21751328     RESP   1751 
     21751336     RESP   1757 
     21751344     RESP   1762 
     21751352     RESP   1762 
     21751360     RESP   1766 
     21751368     RESP   1773 
     21751376     RESP   1780 
     21751384     RESP   1782 
     21751392     RESP   1789 
     21751400     RESP   1793 
     21751408     RESP   1796 
     21751416     RESP   1805 
     21751424     RESP   1811 
     21751432     RESP   1825 
     21751440     RESP   1836 
     21751448     RESP   1847 
     21751456     RESP   1856 
     21751464     RESP   1865 
     21751472     RESP   1870 
     21751480     RESP   1863 
     21751488     RESP   1856 
     21751496     RESP   1852 
     21751504     RESP   1856 
     21751512     RESP   1870 
     21751520     RESP   1895 
     21751528     RESP   1924 
     21751536     RESP   1953 
     21751544     RESP   1982 
     21751552     RESP   2016 
     21751560     RESP   2041 
