UUID        = pppppppp-hhhh-yyyy-ssss-ioioioioioio
ScanDate    = 20180101_120001
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     21749766     PULS   2162 
     21749768     PULS   2174 
     21749770     PULS   2180 
     21749772     PULS   2198 
     21749774     PULS   2210 
     21749776     PULS   2222 
     21749778     PULS   2228 
     21749780     PULS   2228 
     21749782     PULS   2234 
     21749784     PULS   2234 
     21749786     PULS   2228 
     21749788     PULS   2228 
     21749790     PULS   2228 
     21749792     PULS   2222 
     21749794     PULS   2216 
     21749796     PULS   2216 
     21749798     PULS   2210 
     21749800     PULS   2210 
     21749802     PULS   2204 
     21749804     PULS   2204 
     21749806     PULS   2198 
     21749808     PULS   2186 
     21749810     PULS   2186 
     21749812     PULS   2180 
     21749814     PULS   2174 
     21749816     PULS   2168 
     21749818     PULS   2162 
     21749820     PULS   2150 
     21749822     PULS   2144 
     21749824     PULS   2138 
     21749826     PULS   2126 
     21749828     PULS   2114 
     21749830     PULS   2096 
     21749832     PULS   2078 
     21749834     PULS   2066 
     21749836     PULS   2054 
     21749842     PULS   2042 
     21749844     PULS   2042 
     21749846     PULS   2036 
     21749848     PULS   2036 
     21749850     PULS   2030 
     21749852     PULS   2024 
     21749854     PULS   2018 
     21749856     PULS   2018 
     21749858     PULS   2018 
     21749860     PULS   2012 
     21749862     PULS   2012 
     21749864     PULS   2006 
     21749866     PULS   2006 
     21749868     PULS   2006 
     21749870     PULS   2006 
     21749872     PULS   2012 
     21749874     PULS   2012 
     21749876     PULS   2012 
     21749878     PULS   2012 
     21749880     PULS   2006 
     21749882     PULS   2006 
     21749884     PULS   1994 
     21749886     PULS   1988 
     21749888     PULS   1976 
     21749890     PULS   1970 
     21749892     PULS   1964 
     21749894     PULS   1952 
     21749896     PULS   1952 
     21749898     PULS   1946 
     21749900     PULS   1940 
     21749902     PULS   1940 
     21749904     PULS   1940 
     21749906     PULS   1928 
     21749908     PULS   1934 
     21749910     PULS   1928 
     21749912     PULS   1922 
     21749914     PULS   1916 
     21749916     PULS   1904 
     21749918     PULS   1892 
     21749920     PULS   1886 
     21749922     PULS   1874 
     21749924     PULS   1874 
     21749926     PULS   1868 
     21749928     PULS   1868 
     21749930     PULS   1874 
     21749932     PULS   1874 
     21749934     PULS   1880 
     21749936     PULS   1874 
     21749938     PULS   1880 
     21749940     PULS   1880 
     21749942     PULS   1886 
     21749944     PULS   1898 
     21749946     PULS   1898 
     21749948     PULS   1910 
     21749950     PULS   1910 
     21749952     PULS   1916 
     21749954     PULS   1916 
     21749956     PULS   1922 
     21749958     PULS   1922 
