UUID        = pppppppp-hhhh-yyyy-ssss-ioioioioioio
ScanDate    = 20180101_120001
LogVersion  = EJA_1
LogDataType = ACQUISITION_INFO
NumSlices   = 48
NumVolumes  = 30
NumEchoes   = 3

VOLUME   SLICE   ACQ_START_TICS  ACQ_FINISH_TICS  ECHO
     1       3         21755267         21755274     2
     1      15         21755267         21755274     2
     1      27         21755267         21755274     2
     1      39         21755267         21755274     2
     1       8         21755283         21755290     0
     1      20         21755283         21755290     0
     1      32         21755283         21755290     0
     1      44         21755283         21755290     0
     1       8         21755291         21755298     1
     1      20         21755291         21755298     1
     1      32         21755291         21755298     1
     1      44         21755291         21755298     1
     1       8         21755299         21755307     2
     1      20         21755299         21755307     2
     1      32         21755299         21755307     2
     1      44         21755299         21755307     2
     1       1         21755315         21755323     0
     1      13         21755315         21755323     0
     1      25         21755315         21755323     0
     1      37         21755315         21755323     0
     1       1         21755323         21755331     1
     1      13         21755323         21755331     1
     1      25         21755323         21755331     1
     1      37         21755323         21755331     1
     1       1         21755332         21755339     2
     1      13         21755332         21755339     2
     1      25         21755332         21755339     2
     1      37         21755332         21755339     2
     1       6         21755348         21755355     0
     1      18         21755348         21755355     0
     1      30         21755348         21755355     0
     1      42         21755348         21755355     0
     1       6         21755356         21755363     1
     1      18         21755356         21755363     1
     1      30         21755356         21755363     1
     1      42         21755356         21755363     1
     1       6         21755364         21755372     2
     1      18         21755364         21755372     2
     1      30         21755364         21755372     2
     1      42         21755364         21755372     2
     1      11         21755380         21755388     0
     1      23         21755380         21755388     0
     1      35         21755380         21755388     0
     1      47         21755380         21755388     0
     1      11         21755388         21755396     1
     1      23         21755388         21755396     1
     1      35         21755388         21755396     1
     1      47         21755388         21755396     1
     1      11         21755397         21755404     2
     1      23         21755397         21755404     2
     1      35         21755397         21755404     2
     1      47         21755397         21755404     2
     1       4         21755413         21755420     0
     1      16         21755413         21755420     0
     1      28         21755413         21755420     0
     1      40         21755413         21755420     0
     1       4         21755421         21755428     1
     1      16         21755421         21755428     1
     1      28         21755421         21755428     1
     1      40         21755421         21755428     1
     1       4         21755429         21755437     2
     1      16         21755429         21755437     2
     1      28         21755429         21755437     2
     1      40         21755429         21755437     2
     1       9         21755445         21755453     0
     1      21         21755445         21755453     0
     1      33         21755445         21755453     0
     1      45         21755445         21755453     0
     1       9         21755453         21755461     1
     1      21         21755453         21755461     1
     1      33         21755453         21755461     1
     1      45         21755453         21755461     1
     1       9         21755462         21755469     2
     1      21         21755462         21755469     2
     1      33         21755462         21755469     2
     1      45         21755462         21755469     2
     1       2         21755477         21755485     0
     1      14         21755477         21755485     0
     1      26         21755477         21755485     0
     1      38         21755477         21755485     0
     1       2         21755486         21755493     1
     1      14         21755486         21755493     1
     1      26         21755486         21755493     1
     1      38         21755486         21755493     1
     1       2         21755494         21755502     2
     1      14         21755494         21755502     2
     1      26         21755494         21755502     2
     1      38         21755494         21755502     2
     1       7         21755510         21755518     0
     1      19         21755510         21755518     0
     1      31         21755510         21755518     0
     1      43         21755510         21755518     0
     1       7         21755518         21755526     1
     1      19         21755518         21755526     1
     1      31         21755518         21755526     1
     1      43         21755518         21755526     1
     1       7         21755526         21755534     2
     1      19         21755526         21755534     2
