UUID        = d056ae5f-9ba2-4a7b-8288-838f01ea258d
ScanDate    = 20190114_145703
LogVersion  = EJA_1
LogDataType = ACQUISITION_INFO
NumSlices   = 42
NumVolumes  = 780
NumEchoes   = 1

VOLUME   SLICE   ACQ_START_TICS  ACQ_FINISH_TICS  ECHO
     3      13         21532718         21532735     0
     3      20         21532718         21532735     0
     3      27         21532718         21532735     0
     3      34         21532718         21532735     0
     3      41         21532718         21532735     0
     3       1         21532745         21532763     0
     3       8         21532745         21532763     0
     3      15         21532745         21532763     0
     3      22         21532745         21532763     0
     3      29         21532745         21532763     0
     3      36         21532745         21532763     0
     3       3         21532773         21532790     0
     3      10         21532773         21532790     0
     3      17         21532773         21532790     0
     3      24         21532773         21532790     0
     3      31         21532773         21532790     0
     3      38         21532773         21532790     0
     3       5         21532800         21532817     0
     3      12         21532800         21532817     0
     3      19         21532800         21532817     0
     3      26         21532800         21532817     0
     3      33         21532800         21532817     0
     3      40         21532800         21532817     0
     4       0         21532836         21532853     0
     4       7         21532836         21532853     0
     4      14         21532836         21532853     0
     4      21         21532836         21532853     0
     4      28         21532836         21532853     0
     4      35         21532836         21532853     0
     4       2         21532863         21532880     0
     4       9         21532863         21532880     0
     4      16         21532863         21532880     0
     4      23         21532863         21532880     0
     4      30         21532863         21532880     0
     4      37         21532863         21532880     0
     4       4         21532890         21532908     0
     4      11         21532890         21532908     0
     4      18         21532890         21532908     0
     4      25         21532890         21532908     0
     4      32         21532890         21532908     0
     4      39         21532890         21532908     0
     4       6         21532918         21532935     0
     4      13         21532918         21532935     0
     4      20         21532918         21532935     0
     4      27         21532918         21532935     0
     4      34         21532918         21532935     0
     4      41         21532918         21532935     0
     4       1         21532945         21532963     0
     4       8         21532945         21532963     0
     4      15         21532945         21532963     0
     4      22         21532945         21532963     0
     4      29         21532945         21532963     0
     4      36         21532945         21532963     0
     4       3         21532973         21532990     0
     4      10         21532973         21532990     0
     4      17         21532973         21532990     0
     4      24         21532973         21532990     0
     4      31         21532973         21532990     0
     4      38         21532973         21532990     0
     4       5         21533000         21533017     0
     4      12         21533000         21533017     0
     4      19         21533000         21533017     0
     4      26         21533000         21533017     0
     4      33         21533000         21533017     0
     4      40         21533000         21533017     0
     5       0         21533036         21533053     0
     5       7         21533036         21533053     0
     5      14         21533036         21533053     0
     5      21         21533036         21533053     0
     5      28         21533036         21533053     0
