UUID        = d056ae5f-9ba2-4a7b-8288-838f01ea258d
ScanDate    = 20190114_145703
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     21534109     RESP   2714 
     21534117     RESP   2666 
     21534125     RESP   2627 
     21534133     RESP   2582 
     21534141     RESP   2528 
     21534149     RESP   2471 
     21534157     RESP   2423 
     21534165     RESP   2369 
     21534173     RESP   2318 
     21534181     RESP   2264 
     21534189     RESP   2210 
     21534197     RESP   2156 
     21534205     RESP   2111 
     21534213     RESP   2072 
     21534221     RESP   2027 
     21534229     RESP   1994 
     21534237     RESP   1964 
     21534245     RESP   1934 
     21534253     RESP   1901 
     21534261     RESP   1877 
     21534269     RESP   1853 
     21534277     RESP   1832 
     21534285     RESP   1811 
     21534293     RESP   1790 
     21534301     RESP   1769 
     21534309     RESP   1757 
     21534317     RESP   1748 
     21534325     RESP   1748 
     21534333     RESP   1742 
     21534341     RESP   1730 
     21534349     RESP   1721 
     21534357     RESP   1718 
     21534365     RESP   1709 
     21534373     RESP   1709 
     21534381     RESP   1703 
     21534389     RESP   1703 
     21534397     RESP   1697 
     21534405     RESP   1691 
     21534413     RESP   1685 
     21534421     RESP   1679 
     21534429     RESP   1679 
     21534437     RESP   1679 
     21534445     RESP   1673 
     21534453     RESP   1667 
     21534461     RESP   1664 
     21534469     RESP   1667 
     21534477     RESP   1667 
     21534485     RESP   1664 
     21534493     RESP   1661 
     21534501     RESP   1661 
     21534509     RESP   1664 
     21534517     RESP   1664 
     21534525     RESP   1658 
     21534533     RESP   1655 
     21534541     RESP   1658 
     21534549     RESP   1664 
     21534557     RESP   1667 
     21534565     RESP   1670 
     21534573     RESP   1682 
     21534581     RESP   1691 
     21534589     RESP   1703 
     21534597     RESP   1703 
     21534605     RESP   1697 
     21534613     RESP   1691 
     21534621     RESP   1685 
     21534629     RESP   1682 
     21534637     RESP   1679 
     21534645     RESP   1670 
     21534653     RESP   1664 
     21534661     RESP   1664 
     21534669     RESP   1664 
     21534677     RESP   1664 
     21534685     RESP   1655 
     21534693     RESP   1649 
     21534701     RESP   1655 
     21534709     RESP   1664 
     21534717     RESP   1670 
     21534725     RESP   1676 
     21534733     RESP   1679 
     21534741     RESP   1685 
     21534749     RESP   1688 
     21534757     RESP   1697 
     21534765     RESP   1697 
     21534773     RESP   1703 
     21534781     RESP   1709 
     21534789     RESP   1721 
     21534797     RESP   1730 
     21534805     RESP   1742 
