UUID        = d056ae5f-9ba2-4a7b-8288-838f01ea258d
ScanDate    = 20190114_145703
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     21530241     PULS   1733 
     21530243     PULS   1733 
     21530245     PULS   1748 
     21530247     PULS   1755 
     21530249     PULS   1755 
     21530251     PULS   1748 
     21530253     PULS   1740 
     21530255     PULS   1725 
     21530257     PULS   1718 
     21530259     PULS   1710 
     21530261     PULS   1695 
     21530263     PULS   1695 
     21530265     PULS   1695 
     21530267     PULS   1695 
     21530269     PULS   1680 
     21530271     PULS   1665 
     21530273     PULS   1658 
     21530275     PULS   1643 
     21530277     PULS   1628 
     21530279     PULS   1613 
     21530281     PULS   1598 
     21530283     PULS   1590 
     21530285     PULS   1568 
     21530287     PULS   1560 
     21530289     PULS   1545 
     21530291     PULS   1530 
     21530293     PULS   1515 
     21530295     PULS   1500 
     21530297     PULS   1493 
     21530299     PULS   1478 
     21530301     PULS   1470 
     21530303     PULS   1463 
     21530305     PULS   1455 
     21530307     PULS   1433 
     21530309     PULS   1418 
     21530311     PULS   1395 
     21530313     PULS   1365 
     21530315     PULS   1343 
     21530317     PULS   1313 
     21530319     PULS   1290 
     21530321     PULS   1275 
     21530323     PULS   1253 
     21530325     PULS   1238 
     21530327     PULS   1215 
     21530329     PULS   1200 
     21530331     PULS   1178 
     21530333     PULS   1163 
     21530335     PULS   1148 
     21530337     PULS   1133 
     21530339     PULS   1133 
     21530341     PULS   1125 
     21530343     PULS   1110 
     21530345     PULS   1110 
     21530347     PULS   1110 
     21530349     PULS   1110 
     21530351     PULS   1110 
     21530353     PULS   1103 
     21530355     PULS   1103 
     21530357     PULS   1103 
     21530359     PULS   1103 
     21530361     PULS   1103 
     21530363     PULS   1103 
     21530365     PULS   1095 
     21530367     PULS   1095 
     21530369     PULS   1088 
     21530371     PULS   1088 
     21530373     PULS   1080 
     21530375     PULS   1088 
     21530377     PULS   1088 
     21530379     PULS   1088 
     21530381     PULS   1095 
     21530383     PULS   1110 
     21530385     PULS   1110 
     21530387     PULS   1118 
     21530389     PULS   1133 
     21530391     PULS   1140 
     21530393     PULS   1140 
     21530395     PULS   1140 
     21530397     PULS   1148 
     21530399     PULS   1148 
     21530401     PULS   1155 
     21530403     PULS   1148 
     21530405     PULS   1148 
     21530407     PULS   1148 
     21530409     PULS   1133 
     21530411     PULS   1125 
     21530413     PULS   1118 
     21530415     PULS   1118 
     21530417     PULS   1118 
     21530419     PULS   1125 
     21530421     PULS   1140 
     21530423     PULS   1163 
     21530425     PULS   1200 
     21530427     PULS   1230 
     21530429     PULS   1260 
     21530431     PULS   1305 
     21530433     PULS   1343 
     21530435     PULS   1403 
     21530437     PULS   1455 
     21530439     PULS   1530 
     21530441     PULS   1605 
     21530443     PULS   1703 
     21530445     PULS   1800 
     21530447     PULS   1913 
     21530449     PULS   2025 
     21530451     PULS   2130 
     21530453     PULS   2243 
     21530455     PULS   2348 
     21530457     PULS   2460 
     21530459     PULS   2565 
     21530461     PULS   2670 
     21530463     PULS   2775 
     21530465     PULS   2880 
     21530467     PULS   2970 
     21530469     PULS   3053 
     21530471     PULS   3128 
     21530473     PULS   3188 
     21530475     PULS   3240 
